car_price,manufacturing_year,company,model,condition,cylinders,fuel,dist_reading,title_status,transmission,VIN,drive,size,car_type,color,image_url,county,state,lat,long,posting_date
4300,2012,kia,soul,,4 cylinders,gas,174053,clean,automatic,KNDJT2A56C7421511,fwd,,wagon,silver,https://images.craigslist.org/00K0K_fW5imLFkEIiz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-23T17:50:40-0500
1100,2000,chevrolet,impala,,6 cylinders,gas,187000,clean,automatic,,fwd,,,white,https://images.craigslist.org/00I0I_cBWDAZXwQewz_0CI0t2_600x450.jpg,,al,33.667896,-86.419401,2021-04-23T16:54:26-0500
5000,2006,jeep,liberty,,,diesel,194000,clean,automatic,,,,SUV,,https://images.craigslist.org/00n0n_fJiYoiQDAeUz_0t20CI_600x450.jpg,,al,34.0929,-86.5686,2021-04-23T16:40:33-0500
2800,2006,ford,taurus,,6 cylinders,gas,230108,clean,automatic,1FAFP53U56A238775,fwd,,sedan,white,https://images.craigslist.org/00R0R_cbDXXcdmM1cz_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-23T16:30:41-0500
5980,2005,nissan,xterra,,,gas,198000,clean,automatic,,,,,,https://images.craigslist.org/01313_dKQSmClyRDkz_0CI0t2_600x450.jpg,,al,33.20968,-86.782894,2021-04-23T16:10:57-0500
6980,2010,nissan,pathfinder,,,gas,186000,clean,automatic,,,,,,https://images.craigslist.org/00d0d_5CX3qaUrlwMz_0CI0t2_600x450.jpg,,al,33.209824,-86.783066,2021-04-23T16:10:14-0500
7980,2008,nissan,titan,,,gas,200000,clean,automatic,,,,,,https://images.craigslist.org/00O0O_jHmVmVslmmdz_0CI0t2_600x450.jpg,,al,33.209249,-86.782894,2021-04-23T16:09:06-0500
6980,2008,mercedes-benz,benz c300,,,gas,148000,clean,automatic,,,,,,https://images.craigslist.org/00i0i_3jUHC6a8e8yz_0CI0t2_600x450.jpg,,al,33.209537,-86.783581,2021-04-23T16:08:15-0500
6480,2011,kia,sorento,,,gas,182000,clean,automatic,,,,,,https://images.craigslist.org/00606_inT11JmCxOnz_0CI0t2_600x450.jpg,,al,33.209537,-86.782894,2021-04-23T16:07:48-0500
8990,2011,jeep,grand cherokee laredo,,,gas,173000,clean,automatic,,,,,,https://images.craigslist.org/00M0M_bRzyN9x7A1Iz_0CI0t2_600x450.jpg,,al,33.20968,-86.783409,2021-04-23T16:06:40-0500
